name,lat,lon,elev_m
P701,46.194624738,-122.133351951,1247.4353635
P702,46.300161458,-122.345647741,1305.7104169
P703,46.145258262,-122.196191378,988.4033535
P705,46.172958521,-122.310593796,1150.8787846
P732,43.392499154,-123.891370267,582.0857814
P733,42.442015577,-124.413297481,184.5419171
P734,42.07663471,-124.2932567,113.3158972
P735,42.691609761,-123.230999019,1577.6743652
P736,42.579830048,-121.880128004,1259.566902
P737,42.727141875,-122.609635713,1245.757376
P784,41.830815703,-122.420456146,802.2393934
P786,41.845484521,-123.980789822,83.9506868
P791,45.344530715,-121.672683874,1985.1872923
P792,46.244630688,-122.13690199,1246.8877582
P793,40.478753393,-123.573130072,709.8619107
P794,39.845679823,-122.963756567,2088.6282915
P815,47.937187508,-124.557152723,36.2138081
P816,47.937110179,-124.557087814,35.7573047
P820,42.861851402,-124.053945997,68.8330464
P821,43.144550657,-123.428987071,252.2613883
P822,42.493466894,-122.588304356,1164.9224741
P823,45.537634793,-123.157371022,78.0735165
P824,45.853094108,-123.247721156,177.7119179
P826,46.181991358,-123.7991532,164.5325293
P827,46.746579725,-122.839100774,101.3036491
P828,47.288973388,-122.940717628,38.5629836
PABH,47.212799504,-124.20458195,12.8935205
PBHY,48.490816059,-123.385907833,16.5188547
PCOL,47.172056734,-122.570805933,79.1406546
PCS2,44.919077894,-123.32784088,95.4612298
PDXA,45.596872977,-122.609233022,-4.9794563
PDXB,45.566488771,-122.581535282,-2.2751004
PER1,47.981663774,-122.20813902,66.4111357
PFLD,47.898506926,-122.282182488,160.3019606
PGC5,48.648532919,-123.451128471,3.5834494
PKDL,45.518303097,-121.563680015,511.7464234
PKWD,46.599797663,-121.676980969,306.685145
PMAR,43.99067266,-121.686747569,2347.7947731
PNCL,48.101460495,-123.41525778,89.3303026
PNHG,46.859079243,-121.642631554,2092.0697894
PNHR,46.85895232,-121.642611685,2092.4368607
PNNL,48.079279057,-123.045116371,-15.8678424
POTH,44.096877877,-122.039815718,1408.7333324
POUL,47.754678934,-122.667225606,73.1136805
POWR,49.806655441,-124.455564098,182.382324
PRDY,47.391362399,-122.609461006,82.5122593
PSEA,47.451388695,-122.320207128,93.8506596
PSPT,42.754844698,-122.48950594,773.3038066
PTAA,48.116829349,-123.494361141,66.8343913
PTAL,49.256329325,-124.860955583,92.7470891
PTRF,48.54426836,-124.413059029,172.8141988
PTSG,41.782741093,-124.255199174,-10.2243031
PUPU,47.499559295,-122.008080466,542.4050075
PYLP,47.191587075,-122.259813036,2.1698375
QUAD,50.132494793,-125.330830824,-7.4874128
QUL2,49.345929814,-124.44300056,55.0053272
RASL,40.504386435,-122.336744752,110.2848978
RDL2,42.954458967,-123.362218531,198.7910985
RDNG,40.625332374,-122.373877878,195.0023129
REDM,44.259767657,-121.147880163,919.8658614
REED,43.701007059,-124.107798148,-14.2019836
RMDB,44.259767011,-121.147881603,919.9397886
ROKY,47.01964021,-122.346161912,128.3701341
RPT5,47.387506277,-122.374766758,-9.7347917
RPT6,47.387203872,-122.375007209,-9.7012182
RSBG,43.235017446,-123.359385812,135.2410195
RYMD,46.684129755,-123.730412096,-10.4870885
SAC4,48.566674095,-123.420743472,49.7995389
SAMM,47.539863142,-122.033172972,7.009564
SANJ,48.532763088,-123.018756675,9.5214804
SATS,46.965654115,-123.541227431,-7.7080251
SC02,48.546194747,-123.00761051,-15.0490625
SC03,47.816587011,-123.705737883,2018.4801012
SC04,48.923163912,-123.704129376,14.8303266
SCMV,48.417853248,-122.337203711,5.3231551
SEAI,47.687005034,-122.256302276,-3.8686159
SEAS,45.984225501,-123.922422901,-12.0488875
SEAT,47.653976964,-122.309475895,44.210986
SEDK,48.504162011,-122.238928886,3.2745572
SEDR,48.521557812,-122.223847794,29.8106114
SEPR,46.200328259,-122.191048795,2100.6652486
SEQM,48.091415628,-123.113543652,34.7006633
SHLT,47.215950486,-123.111361344,-6.3511139
SHPB,49.347507018,-126.259856394,5.7243974
SHRK,45.464314375,-121.528766692,1319.5165584
SKCO,45.694246133,-121.883961535,42.6133531
SKGT,48.433435525,-122.342470247,-6.7275255
SKMA,45.694244206,-121.883960529,43.1083013
SKPU,48.433595142,-122.345177331,-0.4249258
SMAI,47.523571948,-122.345058123,113.442279
SNOQ,47.391309616,-121.388281215,770.0720601
SNRS,46.914613952,-121.643601609,1938.3747977
SQAW,44.192443404,-121.650488027,1406.964976
SQIM,48.082403159,-123.10204315,34.9915254
SQMS,49.725217587,-123.141737405,0.9226199
SSHO,47.682299818,-122.315164926,74.1127551
STA7,46.850811003,-121.793878264,3357.8895959
